"T [C]","Psat [bar]","Psat or 1 [bar]","200 [bar]","400 [bar]","600 [bar]","800 [bar]","1000 [bar]"
0,"",3.607,200,2.464,2.009,1.622,1.297
10,"",2.613,200,1.808,1.477,1.189,0.939
20,"",1.877,200,1.293,1.046,0.826,0.631
25,"",1.566,200,1.066,0.852,0.66,0.486
30,"",1.28,200,0.853,0.668,0.5,0.348
40,"",0.768,200,0.462,0.326,0.201,0.085
50,"",0.313,200,0.106,0.012,-0.077,-0.161
60,"",-0.104,200,-0.225,-0.283,-0.339,-0.393
70,"",-0.491,200,-0.541,-0.562,-0.584,-0.609
80,"",-0.869,200,-0.844,-0.833,-0.827,-0.826
90,"",-1.24,200,-1.144,-1.103,-1.069,-1.045
100,1.0,-1.611,200,-1.444,-1.373,-1.313,-1.267
110,1.4,-1.985,200,-1.75,-1.649,-1.564,-1.495
120,2.0,-2.367,200,-2.063,-1.933,-1.822,-1.731
130,2.7,-2.762,200,-2.386,-2.227,-2.089,-1.977
140,3.6,-3.172,200,-2.722,-2.532,-2.369,-2.234
150,4.8,-3.601,200,-3.073,-2.852,-2.661,-2.501
160,6.2,-4.053,200,-3.443,-3.188,-2.968,-2.787
170,7.9,-4.533,200,-3.832,-3.542,-3.292,-3.086
180,10.0,-5.045,200,-4.245,-3.916,-3.635,-3.402
190,12.5,-5.594,200,-4.684,-4.313,-3.998,-3.738
200,15.5,-6.188,200,-5.153,-4.737,-4.385,-4.115
210,19.1,-6.836,200,-5.656,-5.188,-4.797,-4.475
220,23.2,-7.546,200,-6.197,-5.673,-5.238,-4.882
230,28.0,-8.333,200,-6.782,-6.193,-5.711,-5.319
240,33.4,-9.214,200,-7.418,-6.754,-6.22,-5.788
250,39.7,-10.212,200,-8.112,-7.361,-6.769,-6.296
260,46.9,-11.36,200,-8.875,-8.021,-7.365,-6.847
270,55.0,-12.704,200,-9.719,-8.741,-8.015,-7.45
280,64.1,-14.311,200,-10.661,-9.532,-8.728,-8.115
290,74.4,-16.285,200,-11.725,-10.407,-9.516,-8.855
300,85.8,-18.788,200,-12.941,-11.381,-10.396,-9.691
